Name,Block,RoomId,Beds Available,Beds Taken,Beds Remaining,Location,Size,Vacancy Status,Price per bed,Price,Super Lisiting,Listing Id
Block 3 Room 29,3,29,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 30,3,30,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 31,3,31,1,1,0,Second Floor,Small,FULLY BOOKED,11000,11000,prontohostel,1
Block 3 Room 32,3,32,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 33,3,33,1,1,0,Second Floor,Small,FULLY BOOKED,11000,11000,prontohostel,1
Block 3 Room 34,3,34,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 3 Room 35,3,35,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 3 Room 36,3,36,1,1,0,Terrace,Small,FULLY BOOKED,11600,11600,prontohostel,1
Block 4 Room 1,4,1,4,3,1,Terrace,Small,PARTIALLY BOOKED,2900,11600,prontohostel,1
Block 4 Room 2,4,2,4,1,3,Ground Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 3,4,3,4,2,2,Ground Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 4,4,4,3,3,0,Ground Floor,Small,FULLY BOOKED,3700,11100,prontohostel,1
Block 4 Room 5,4,5,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 6,4,6,4,3,1,Ground Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 7,4,7,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 8,4,8,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 9,4,9,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 10,4,10,3,0,3,Ground Floor,Small,EMPTY,3700,11100,prontohostel,1
Block 4 Room 11,4,11,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 12,4,12,3,3,0,Terrace,Small,FULLY BOOKED,3870,11610,prontohostel,1
Block 4 Room 13,4,13,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 4 Room 14,4,14,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 15,4,15,2,1,1,First Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 16,4,16,2,0,2,First Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 4 Room 17,4,17,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 18,4,18,2,1,1,First Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 19,4,19,4,0,4,First Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 4 Room 20,4,20,3,3,0,First Floor,Small,FULLY BOOKED,3700,11100,prontohostel,1
Block 4 Room 21,4,21,2,0,2,First Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 4 Room 22,4,22,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 23,4,23,2,1,1,First Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 24,4,24,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 4 Room 25,4,25,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 4 Room 26,4,26,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 27,4,27,3,3,0,Second Floor,Small,FULLY BOOKED,3700,11100,prontohostel,1
Block 4 Room 28,4,28,4,2,2,Second Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 29,4,29,2,0,2,Second Floor,Small,EMPTY,5500,11000,prontohostel,1
Block 4 Room 30,4,30,4,1,3,Second Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 31,4,31,4,3,1,Second Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 32,4,32,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 33,4,33,2,2,0,Second Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 34,4,34,4,2,2,Second Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 4 Room 35,4,35,2,1,1,Second Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 4 Room 36,4,36,4,4,0,Terrace,Small,FULLY BOOKED,2900,11600,prontohostel,1
Block 5 Room 1,5,1,3,3,0,Terrace,Large,FULLY BOOKED,4200,12600,prontohostel,1
Block 5 Room 2,5,2,4,4,0,Ground Floor,Large,FULLY BOOKED,3000,12000,prontohostel,1
Block 5 Room 3,5,3,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 4,5,4,3,3,0,Ground Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 5,5,5,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 6,5,6,4,0,4,Ground Floor,Large,EMPTY,3000,12000,prontohostel,1
Block 5 Room 7,5,7,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 8,5,8,4,0,4,Ground Floor,Large,EMPTY,3000,12000,prontohostel,1
Block 5 Room 9,5,9,4,3,1,Ground Floor,Large,PARTIALLY BOOKED,3000,12000,prontohostel,1
Block 5 Room 10,5,10,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 11,5,11,2,1,1,Ground Floor,Large,PARTIALLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 12,5,12,3,3,0,Terrace,Large,FULLY BOOKED,4200,12600,prontohostel,1
Block 5 Room 13,5,13,4,4,0,Terrace,Large,FULLY BOOKED,3100,12400,prontohostel,1
Block 5 Room 14,5,14,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 15,5,15,4,4,0,First Floor,Large,FULLY BOOKED,3000,12000,prontohostel,1
Block 5 Room 16,5,16,4,4,0,First Floor,Large,FULLY BOOKED,3000,12000,prontohostel,1
Block 5 Room 17,5,17,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 18,5,18,2,1,1,First Floor,Large,PARTIALLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 19,5,19,3,3,0,First Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 20,5,20,4,4,0,First Floor,Large,FULLY BOOKED,3000,12000,prontohostel,1
Block 5 Room 21,5,21,3,3,0,First Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 22,5,22,3,2,1,First Floor,Large,PARTIALLY BOOKED,4000,12000,prontohostel,1
