Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id,Level
C205,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,300
C205,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C301,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,450
C301,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C301,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C302,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C302,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C302,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,200
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,200
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,
TV Room,8,8,T,,cuoldgirls,1,680,location,size,vacancystatus,0,0,1,
C303,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C303,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C303,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,100
C304,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C304,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,400
C304,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C305,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C305,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,
C305,3,3,C,,cuoldgirls,1,"1,320.00",location,size,vacancystatus,0,0,1,200
ROOM NO.,3,3,R,,cuoldgirls,1,EXPTED,location,size,vacancystatus,0,0,1,
D001,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D001,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D001,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
D004,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D004,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D004,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D008,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D008,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,100
D008,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
